Peringkat,Kecamatan,"Total Target","Total Sudah Survei","Layak Diusulkan","Tidak Layak Diusulkan","Belum Survei","Progres Survei (%)","Persentase Layak (%)"
1,SUMBERJAMBE,792,300,224,47,492,37.9,74.7
2,LEDOKOMBO,1016,237,143,72,779,23.3,60.3
3,SILO,975,167,143,7,808,17.1,85.6
4,KALISAT,793,235,138,24,558,29.6,58.7
5,PATRANG,413,200,128,39,213,48.4,64
6,ARJASA,422,162,123,19,260,38.4,75.9
7,JOMBANG,218,205,107,71,13,94,52.2
8,UMBULSARI,267,185,96,36,82,69.3,51.9
9,MUMBULSARI,613,96,96,0,517,15.7,100
10,SUMBERBARU,691,191,95,59,500,27.6,49.7
11,SUMBERSARI,270,139,90,29,131,51.5,64.7
12,SEMBORO,309,136,81,12,173,44,59.6
13,PUGER,272,148,75,63,124,54.4,50.7
14,RAMBIPUJI,314,98,61,1,216,31.2,62.2
15,GUMUKMAS,207,110,56,41,97,53.1,50.9
16,SUKOWONO,789,74,54,5,715,9.4,73
17,PAKUSARI,449,95,52,26,354,21.2,54.7
18,TANGGUL,476,54,40,7,422,11.3,74.1
19,WULUHAN,234,64,39,9,170,27.4,60.9
20,KALIWATES,197,70,38,5,127,35.5,54.3
21,AMBULU,236,61,38,13,175,25.8,62.3
22,TEMPUREJO,426,60,36,6,366,14.1,60
23,MAYANG,452,67,30,0,385,14.8,44.8
24,JENGGAWAH,326,68,26,10,258,20.9,38.2
25,BANGSALSARI,615,43,26,4,572,7,60.5
26,AJUNG,407,23,16,2,384,5.7,69.6
27,JELBUK,426,22,11,3,404,5.2,50
28,BALUNG,102,34,9,8,68,33.3,26.5
29,KENCONG,169,28,9,11,141,16.6,32.1
30,SUKORAMBI,217,10,8,0,207,4.6,80
31,PANTI,485,10,3,1,475,2.1,30
